run_id,band,elapsed_s,temp,target_temp,error,abs_error,temp_velocity,current_kp,current_ki,current_kd,kp,ki,kd,history_score,cost,n_samples,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,tail_mae,jitter_std,overshoot
,near,1120.0,0.0149713864802834,0.0,-0.0149713864802834,0.0149713864802834,-0.00029133300413376994,11.0,821.0,20.0,11.0,846.0,20.0,0.0129778016498224,0.0129778016498224,,,,,,,,
,near,1160.0,0.0171657158489324,0.0,-0.0171657158489324,0.0171657158489324,8.578334818594019e-05,13.0,1000.0,20.0,13.0,1000.0,20.0,0.0131527836283147,0.0131527836283147,,,,,,,,
,near,1100.0,0.0205938932040226,0.0,-0.0205938932040226,0.0205938932040226,-0.0002447668754030002,11.0,821.0,20.0,11.0,821.0,20.0,0.0140447510510022,0.0140447510510022,,,,,,,,
,near,730.0,0.0169543652446009,0.0,-0.0169543652446009,0.0169543652446009,-0.0031666258466430002,35.0,12.0,18.0,35.0,12.0,18.0,0.0141701796358003,0.0141701796358003,,,,,,,,
,near,740.0,0.0173980731342453,0.0,-0.0173980731342453,0.0173980731342453,4.4370788964439784e-05,35.0,12.0,18.0,35.0,12.0,18.0,0.0142413692814519,0.0142413692814519,,,,,,,,
,near,620.0,0.0641498187978868,0.0,-0.0641498187978868,0.0641498187978868,-0.0006169326661620303,33.0,9.0,20.0,36.0,1.0,20.0,0.0151359687921325,0.0151359687921325,,,,,,,,
,near,750.0,0.0188731462403666,0.0,-0.0188731462403666,0.0188731462403666,0.00014750731061212997,35.0,12.0,18.0,35.0,12.0,18.0,0.0152582190729741,0.0152582190729741,,,,,,,,
,near,1060.0,0.0202953568432349,0.0,-0.0202953568432349,0.0202953568432349,-0.00027619674801826027,13.0,919.0,20.0,12.0,858.0,20.0,0.0153237054769883,0.0153237054769883,,,,,,,,
,near,760.0,0.020084621530259,0.0,-0.020084621530259,0.020084621530259,0.00012114752898924019,35.0,12.0,18.0,35.0,12.0,18.0,0.0155686731665628,0.0155686731665628,,,,,,,,
,near,1090.0,0.0230415619580526,0.0,-0.0230415619580526,0.0230415619580526,0.00025681851111586005,11.0,821.0,20.0,11.0,821.0,20.0,0.0159320331980176,0.0159320331980176,,,,,,,,
,near,1070.0,0.0190356869707102,0.0,-0.0190356869707102,0.0190356869707102,-0.00012596698725246997,12.0,858.0,20.0,11.0,801.0,20.0,0.0162606659714724,0.0162606659714724,,,,,,,,
,near,1050.0,0.0230573243234175,0.0,-0.0230573243234175,0.0230573243234175,-0.0002985772029205698,12.0,845.0,20.0,13.0,919.0,20.0,0.0169861328344367,0.0169861328344367,,,,,,,,
