decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,horizon_steps,optimize_ms
84,830.0,0.06632168550913775,-0.06632168550913775,16.0,390.0,20.0,14.0,308.0,20.0,True,0.06208279928329252,0.7802274031254918,0.0,0.0,0.06905081000544062,0.03185519879389176,0.015907889630975152,0.052925862330821534,768,30,156659.5102000283
85,840.0,0.08173809160416567,-0.08173809160416567,14.0,308.0,20.0,12.0,168.0,20.0,True,0.06447605223793798,0.06509087062095104,0.0,0.0,0.05230018077860829,0.003160263592690171,0.025796582919806157,0.08427184462589246,768,30,129484.61830004817
86,850.0,0.08092989336637402,-0.08092989336637402,12.0,168.0,20.0,1.0,385.0,20.0,True,0.06326537647254535,1.8919728680765109,0.0,0.0,0.07846159583671881,0.0633142837386913,0.007056204851159295,0.18035057335373417,768,30,113414.48410000885
87,860.0,0.08502343216150621,-0.08502343216150621,1.0,385.0,20.0,1.0,329.0,20.0,True,0.06157587064879284,0.06181823667799663,0.0,0.0,0.06972038061024553,0.04754158744526649,0.011768680506786878,0.03236397905367271,768,30,102380.68469997961
88,870.0,0.08322971605866769,-0.08322971605866769,1.0,329.0,20.0,9.0,426.0,20.0,True,0.05474696064882774,0.058668965745199475,0.0,0.0,0.04133913123957124,0.012816402194403054,0.01948710996708517,0.10967133695416208,768,30,102596.89970000181
89,880.0,0.06523171731441835,-0.06523171731441835,9.0,426.0,20.0,12.0,541.0,13.0,True,0.03371143059971798,0.03765910893160686,0.0,0.0,0.024858116800957456,0.0021555820994763053,0.012702831099690186,0.22563539904079574,768,30,102166.18090000702
90,890.0,0.036197467829879315,-0.036197467829879315,12.0,541.0,13.0,14.0,754.0,18.0,True,0.023689472144974782,1.6490357101521043,0.0,0.0,0.021782292580185943,0.0008802140573607176,0.008461660917768746,0.1969584764719741,768,30,101993.106000009
91,900.0,0.024697813328202756,-0.024697813328202756,14.0,754.0,18.0,15.0,872.0,20.0,True,0.02670127439043353,1.483898129513621,0.0,0.0,0.025510843258052772,0.002670554938049463,0.009671400695305142,0.092102687918796,768,30,102051.42000003252
92,910.0,0.029628283255988208,-0.029628283255988208,15.0,872.0,20.0,12.0,673.0,19.0,True,0.03488246430977027,0.7574225671942563,0.0,0.0,0.028486935756094074,0.003662145208181755,0.01305652636972819,0.12409518150041904,768,30,102195.39830001304
93,920.0,0.040940160716672835,-0.040940160716672835,12.0,673.0,19.0,10.0,575.0,19.0,True,0.04080340769861699,0.49617181537266397,0.0,0.0,0.03473264091984068,0.010736963332419691,0.013937479598642116,0.06134386511547735,768,30,101843.13990001101
94,930.0,0.05152905252089113,-0.05152905252089113,10.0,575.0,19.0,11.0,649.0,20.0,True,0.03747489283141384,0.038336409066638315,0.0,0.0,0.026564830435927434,0.0032792117262943066,0.014992311897672318,0.05376970857365659,768,30,102364.44689997006
95,940.0,0.045841111655136046,-0.045841111655136046,11.0,649.0,20.0,11.0,691.0,20.0,True,0.03388803310979801,0.5205524753631879,0.0,0.0,0.03449416411949642,0.018958522216962592,0.008633604667257442,0.024272984290254537,768,30,101581.03130001109
96,950.0,0.045218313897748885,-0.045218313897748885,11.0,691.0,20.0,12.0,734.0,20.0,True,0.026541065190081068,0.02966286661665439,0.0,0.0,0.019561847191713846,0.00025275195275753504,0.011113646352519626,0.027502707032027753,768,30,102248.57070000144
97,960.0,0.03182224076499551,-0.03182224076499551,12.0,734.0,20.0,10.0,635.0,20.0,True,0.028165868182072215,0.8535322868529888,0.0,0.0,0.02563706954151712,0.006872644850773213,0.00949167668776839,0.06187784728454016,768,30,101929.68470003689
98,970.0,0.03616883853010222,-0.03616883853010222,10.0,635.0,20.0,14.0,897.0,20.0,True,0.026571356735117818,0.07804086132942235,0.0,0.0,0.017418474701177425,0.00029010153866693145,0.010678392191257227,0.1585826643034413,768,30,102380.16099995002
99,980.0,0.029039433836260287,-0.029039433836260287,14.0,897.0,20.0,10.0,640.0,19.0,True,0.02642593501875918,0.7745347594189489,0.0,0.0,0.020937135498449302,0.001907492266582267,0.00984857534596217,0.15876110938538437,768,30,102028.15660001943
100,990.0,0.0315891640193513,-0.0315891640193513,10.0,640.0,19.0,11.0,713.0,19.0,True,0.025535895049458624,0.5930423284955798,0.0,0.0,0.018797863625089426,0.00030914167200535303,0.010591859627304353,0.0438032233829356,768,30,101917.63610002818
101,1000.0,0.03133889145010471,-0.03133889145010471,11.0,713.0,19.0,10.0,649.0,17.0,True,0.027155448506887916,0.7178591261830567,0.0,0.0,0.023085365358141038,0.004582909837154148,0.009762893229872727,0.0721134056937178,768,30,101893.05590000004
102,1010.0,0.03484634516553342,-0.03484634516553342,10.0,649.0,17.0,11.0,778.0,20.0,True,0.027394670397309816,0.3255458885197871,0.0,0.0,0.027881108118708652,0.016886346594219503,0.006095877841537188,0.11835197933839604,768,30,101903.70029996848
103,1020.0,0.03389291666007921,-0.03389291666007921,11.0,778.0,20.0,11.0,778.0,20.0,False,0.02378515828429302,0.02378515828429302,0.0,0.0,0.024113842832412045,0.012210343294100312,0.006428609035380227,0.0,768,30,101954.2695999844
104,1030.0,0.031527029203971324,-0.031527029203971324,11.0,778.0,20.0,12.0,838.0,20.0,True,0.021272776728122555,0.02213488539775075,0.0,0.0,0.01721662154795922,0.00437023895119637,0.007639052118709091,0.03662287055143462,768,30,102102.17630001716
105,1040.0,0.02604309635262325,-0.02604309635262325,12.0,838.0,20.0,12.0,845.0,20.0,True,0.018077379442862716,0.1216833831165866,0.0,0.0,0.015297329606801214,0.0028191471710670157,0.006783942481075936,0.004045497381709089,768,30,102112.32029995881
106,1050.0,0.02305732432341756,-0.02305732432341756,12.0,845.0,20.0,13.0,919.0,20.0,True,0.01698613283443675,0.20384827909363568,0.0,0.0,0.012486356541982484,0.0003815443260464235,0.006927244065755791,0.04436012315054593,768,30,101933.95269999746
